Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned
20200803_0949_blob_1063_,0.818025593,-0.653993076,-0.3826739,-0.420971674,-0.350301372,0.470848684,-0.650792232,0.298296027,F1,1
20200803_0949_blob_981_,0.464145658,-0.476235163,-0.19145455,-0.503272292,-0.125002964,-0.108120347,-0.279196404,0.105284186,F1,1
20200803_1535_blob_21_,0.62874105,-0.470672756,-0.407245876,-0.150784508,-0.449243585,0.557581655,-0.598057209,0.346596553,F1,1
20200803_1535_blob_659_,0.565130076,-0.497392011,-0.037426432,-0.768064794,0.373607398,-0.340825151,-0.011204553,0.225334527,F1,1
20200803_1535_blob_687_,0.963033295,-0.800488137,-0.320114262,-0.660276986,-0.202485298,0.292877234,-0.607956799,0.349476858,F1,1
20200803_1535_blob_745_,0.849318088,-0.695850242,-0.412284739,-0.492628171,-0.348537768,0.514110525,-0.643173883,0.342125752,F1,1
20200803_1535_blob_804_,0.672336003,-0.57205095,0.068983315,-0.4864906,-0.194647091,0.039993077,-0.395363406,-0.022479271,F1,1
20200803_1535_blob_979_,0.922967686,-0.837582378,0.012443333,-0.433388948,-0.513809792,0.33351516,-0.805714141,0.028593632,F1,1
20200803_1535_blob_63_,0.457630024,-0.606643517,0.549709657,-0.42744099,-0.232315042,-0.232110467,-0.370218972,-0.377397947,F3,1
20200803_0949_blob_1273_,-0.42530594,0.680833417,-0.279035103,0.188881044,0.630698646,-0.060440018,0.67104755,0.486174953,F2,2
20200803_0949_blob_1827_,-0.830947437,0.84816614,0.045330159,0.726136559,0.235741473,0.050133409,0.631764783,-0.027381156,F2,2
20200803_1535_blob_1048_,-0.818157822,0.873158017,0.170045999,0.73753516,0.175676727,0.011965642,0.599412086,0.034325112,F2,2
20200803_1535_blob_1058_,-0.459640521,0.731614227,-0.271530765,0.587539386,0.220301669,0.426344764,0.448923397,0.480238027,F2,2
20200803_1535_blob_17_,-0.818288419,0.951289469,-0.106605261,0.48493978,0.662722403,-0.065445201,0.905029712,0.282905235,F2,2
20200803_1535_blob_26_,-0.886876706,0.954333899,0.082707215,0.723257416,0.434064899,0.010594691,0.746734134,0.022747421,F2,2
20200803_1535_blob_30_,-0.503310754,0.799000809,-0.433016419,0.401303919,0.374242603,0.284527914,0.633078613,0.628949964,F2,2
20200803_1535_blob_31_,-0.921432084,0.922895215,-0.007798413,0.498845897,0.590856232,-0.214581478,0.860780865,0.036985957,F2,2
20200803_1535_blob_33_oil,-0.835204444,0.954914541,-0.037476808,0.465091647,0.612300112,-0.085877133,0.906738941,0.203096109,F2,2
20200803_1535_blob_469_oil,-0.879386541,0.959072831,-0.028452925,0.531543713,0.482859612,-0.076841118,0.838838749,0.109651574,F2,2
20200803_1535_blob_482_oil,-0.78600559,0.898501019,-0.092375964,0.364019371,0.570957771,-0.041864981,0.873259261,0.251134899,F2,2
20200803_1535_blob_495_oil,-0.866027006,0.940875296,0.023326877,0.528313242,0.606357804,-0.104674006,0.866423649,0.122770403,F2,2
20200803_1535_blob_506_oil,-0.883220353,0.965300502,0.057144781,0.602749285,0.482948872,-0.016872421,0.82072504,0.107527428,F2,2
20200803_1535_blob_514_oil,-0.770231053,0.880735245,-0.122890588,0.407724052,0.599823427,-0.097905321,0.846716534,0.1662567,F2,2
20200803_1535_blob_551_oil,-0.873414454,0.919817811,-0.062635209,0.496468892,0.569695837,-0.163016235,0.852566523,0.097679601,F2,2
20200803_1535_blob_554_oil,-0.840922625,0.941341783,-0.102135733,0.470138848,0.543529038,-0.085176668,0.849608785,0.267269354,F2,2
20200803_1535_blob_568_oil,-0.815961836,0.903943383,0.029800131,0.614373497,0.306461039,0.050890003,0.69274219,0.080695039,F2,2
20200803_1535_blob_574_,-0.926936238,0.976813558,0.070054321,0.741312132,0.325109374,0.023931068,0.711541907,0.027932789,F2,2
20200803_1535_blob_615_,-0.719091249,0.791195144,-0.201190088,0.268369364,0.375903289,-0.160422665,0.767265229,0.270511327,F2,2
