BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes,Cnum.p,OSc.p,OSc_final,Cnum_final,Cnum,OSc
936,20200803_1535_blob_936_,caice_ssa_final_0803_1535,"d-C10 acid, TMS",150,277,1475.706215,1467,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,C10H10O2,C10H10O2,NA,162,TRUE,FALSE,NA,9.292366667,-1.059760468,-0.6,10,10,-0.6
654,20200803_1535_blob_654_,caice_ssa_final_0803_1535,"dimethyl Glutaric Acid, TMS",308,308,1455.367232,1456,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,C10H10O2,C10H10O2,NA,162,TRUE,FALSE,NA,9.286266667,-1.062024877,-0.6,10,10,-0.6
1827,20200803_0949_blob_1827_,caice_ssa_final_0805_0949,benzophenone,0,449,1497.727273,1662,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,NA,C10H9NO2,C10H9NO2,NA,175,TRUE,FALSE,"kovats cant be cofnirmed, but in the right ballpark",9.021033333,0.049526775,-0.5,10,10,-0.5
687,20200803_1535_blob_687_,caice_ssa_final_0803_1535,C7 acid,242,248,1470.056497,NA,"Quinoline, 2,4-dimethyl-",915,915,1454,C11H11N,C11H11N,NA,157,TRUE,FALSE,NA,8.942633333,-0.450821753,-1,11,11,-1
876,20200803_1535_blob_876_,caice_ssa_final_0803_1535,Sugar 3,277,281,1616.455696,1618,"Benzothiazole, 2-butyl-",886,886,NA,C11H13NS,C11H13NS,NA,191,TRUE,FALSE,NA,8.895266667,-0.467054829,-1.181818182,11,11,-1.181818182
43,20200803_1535_blob_43_,caice_ssa_final_0803_1535,vanillin,249,249,1554.80226,1557,"Benzothiazole, 2-butyl-",866,866,NA,C11H13NS,C11H13NS,NA,191,TRUE,FALSE,"Note- only one of the butyl BTZs is correct, check which one",9.750366667,-0.567666771,-1.181818182,11,11,-1.181818182
703,20200803_1535_blob_703_,caice_ssa_final_0803_1535,C7 acid,266,314,1500.564972,NA,"Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-",759,847,1432,C11H14O2,C11H14O2,NA,178,TRUE,FALSE,"match factor not amazing, but seems close enough",9.653466667,-0.915270022,-0.909090909,11,11,-0.909090909
1138,20200803_0949_blob_1138_,caice_ssa_final_0805_0949,benzophenone,109,443,1653.164557,1662,Diphenylamine,784,878,1621,C12H11N,C12H11N,NA,169,TRUE,FALSE,NA,9.449533333,-0.467389075,-0.916666667,12,12,-0.916666667
651,20200803_1535_blob_651_,caice_ssa_final_0803_1535,C7 acid,254,290,1654.43038,NA,"Quinoline, 2,3,4-trimethyl-",887,927,1616,C12H13N,C12H13N,NA,171,TRUE,FALSE,NA,10.5558,-0.484662474,-1.083333333,12,12,-1.083333333
1393,20200803_0949_blob_1393_,caice_ssa_final_0805_0949,pinonic acid,104,390,1537.5,1549,"Quinoline, 2,4,6-trimethyl-",814,832,1532,C12H13N,C12H13N,NA,171,TRUE,FALSE,NA,9.523166667,-0.354624347,-1.083333333,12,12,-1.083333333
843,20200803_1535_blob_843_,caice_ssa_final_0803_1535,C7 acid,279,296,1643.037975,NA,N-n-Butylphthalimide,832,840,NA,C12H13NO2,C12H13NO2,NA,203,TRUE,FALSE,"retention index could not be confirmed, but based on chem formula position is not unreasonable",9.1545,-0.432549726,-0.75,12,12,-0.75
741,20200803_1535_blob_741_,caice_ssa_final_0803_1535,20200803_1919_blob_579,373,760,1612.658228,1614,Diethyl Phthalate,847,908,1594,C12H14O4,C12H14O4,NA,222,TRUE,FALSE,NA,10.7253,-1.057705042,-0.5,12,12,-0.5
398,20200803_1535_blob_398_,caice_ssa_final_0803_1535,pinonic acid,271,311,1555.932203,1549,"2-Butenedioic acid, dibutyl ester",904,912,NA,C12H20O4,C12H20O4,NA,228,TRUE,FALSE,NA,13.35863333,-1.315783382,-1,12,12,-1
1421,20200803_1535_blob_1421_,caice_ssa_final_0803_1535,gamma dodecalactone,834,864,1707.594937,1708,t-Dodecalactone,812,860,1678,C12H22O2,C12H22O2,NA,198,FALSE,FALSE,NA,14.08193333,-1.819561705,-1.5,12,12,-1.5
