Compound.Name,Model_Properties
20200803_1535_blob_936_,FALSE
20200803_1535_blob_654_,FALSE
20200803_0949_blob_1827_,FALSE
20200803_1535_blob_687_,FALSE
20200803_1535_blob_876_,FALSE
20200803_1535_blob_43_,FALSE
20200803_1535_blob_703_,FALSE
20200803_0949_blob_1138_,FALSE
20200803_1535_blob_651_,FALSE
20200803_0949_blob_1393_,FALSE
20200803_1535_blob_843_,FALSE
20200803_1535_blob_741_,FALSE
20200803_1535_blob_398_,FALSE
20200803_1535_blob_1421_,FALSE
20200803_1535_blob_549_,FALSE
20200803_0949_blob_2000_,FALSE
20200803_1535_blob_1540_,FALSE
20200803_1535_blob_849_,FALSE
20200803_1535_blob_170_,FALSE
20200803_0949_blob_766_,FALSE
20200803_1535_blob_934_,FALSE
20200803_1535_blob_818_,FALSE
20200803_1535_blob_1063_,FALSE
20200803_1535_blob_1046_,FALSE
20200803_1535_blob_556_,FALSE
20200803_1535_blob_783_,FALSE
20200803_1535_blob_866_,FALSE
20200803_1535_blob_26_,FALSE
20200803_1535_blob_560_,FALSE
20200803_1535_blob_7_,FALSE
20200803_1535_blob_1058_,FALSE
20200803_1535_blob_657_,FALSE
20200803_1535_blob_698_,FALSE
20200803_1535_blob_671_,FALSE
20200803_1535_blob_748_,FALSE
20200803_1535_blob_758_,FALSE
20200803_1535_blob_695_,FALSE
20200803_1535_blob_5_fb,FALSE
20200803_1535_blob_2_,FALSE
20200803_1535_blob_13_,FALSE
20200803_1535_blob_6_,FALSE
20200803_1535_blob_134_,FALSE
20200803_1535_blob_755_,FALSE
20200803_1535_blob_17_,FALSE
20200803_1535_blob_23_fb,FALSE
20200803_1535_blob_797_,FALSE
20200803_1535_blob_106_fb,FALSE
20200803_1535_blob_945_,FALSE
20200803_1535_blob_418_,FALSE
20200803_1535_blob_458_,FALSE
20200803_1535_blob_700_,FALSE
20200803_1535_blob_688_,FALSE
20200803_1535_blob_1104_,FALSE
20200803_0949_blob_822_,FALSE
20200803_1535_blob_16_,FALSE
20200803_0949_blob_688_,FALSE
20200803_1535_blob_511_,FALSE
20200803_1535_blob_772_,FALSE
20200803_1535_blob_856_,FALSE
20200803_1535_blob_97_,FALSE
20200803_0949_blob_750_,FALSE
20200803_1535_blob_18_,FALSE
20200803_1535_blob_750_,FALSE
20200803_1535_blob_1064_,FALSE
20200803_1535_blob_691_oil,FALSE
20200803_1535_blob_1005_,FALSE
20200803_0949_blob_800_,FALSE
20200803_1535_blob_947_,FALSE
