Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_0949_blob_1009_,-0.315091811,0.587758472,-0.414460584,0.190956139,0.138249952,0.712262745,0.142971186,0.557526435,F6,6,6
20200803_0949_blob_1011_,-0.049495905,-0.113276997,0.615064982,0.423879476,0.061401362,-0.176869024,-0.079110855,-0.539106001,F3,3,3
20200803_0949_blob_1043_,-0.260589011,0.304609374,-0.114425145,0.356441583,-0.208961854,0.603580231,-0.323525672,0.212408565,F6,6,6
20200803_0949_blob_1063_,0.838367308,-0.663482879,-0.231388055,-0.649117641,-0.381777397,-0.516027199,0.470848684,0.298296027,F1,1,1
20200803_0949_blob_1138_,-0.822907121,0.884203865,0.192473861,0.406175365,0.861256438,0.351512018,0.078381572,-0.15429889,F2,2,2
20200803_0949_blob_1140_,0.89450619,-0.785260345,0.080220384,-0.495112574,-0.535355387,-0.499145201,0.182548312,0.144509531,F1,1,1
20200803_0949_blob_1163_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_1172_,0.176896443,-0.226989367,0.607347123,0.272542295,-0.052646422,-0.218848439,0.033727777,-0.381251302,F3,3,3
20200803_0949_blob_1194_,-0.047023995,0.036056682,-0.013625951,0.315998772,-0.351639089,0.279610875,-0.22402804,0.108525541,F4,4,4
20200803_0949_blob_1227_,-0.478420361,0.542600264,0.142752824,0.175195137,0.518048031,0.142240415,0.096528221,-0.041552446,F2,2,2
20200803_0949_blob_1249_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_1273_,-0.448889565,0.672512326,-0.444225544,0.29981536,0.143556279,0.682172801,-0.060440018,0.486174953,F6,2,2
20200803_0949_blob_1280_,-0.531644263,0.624153721,0.116791042,0.097588922,0.603419525,0.160934114,0.164581232,0.164397072,F2,2,2
20200803_0949_blob_1303_,0.766693756,-0.516413826,-0.399872848,-0.609704833,-0.397176705,-0.371529311,0.492905016,0.475688871,F1,1,1
20200803_0949_blob_1315_,0.400977503,-0.443482432,0.702243974,-0.005742189,0.065706683,-0.430461892,0.147620978,-0.456973806,F3,3,3
20200803_0949_blob_1355_,-0.452452675,0.351275358,0.003162568,0.352293933,0.24162967,0.279050539,-0.333501227,-0.316966241,F4,4,4
20200803_0949_blob_1393_,0.320174172,-0.082209705,0.285156187,-0.357984261,0.244424034,-0.19370286,0.399499176,0.166107244,F7,7,7
20200803_0949_blob_1477_,0.265732112,-0.141731296,-0.547461885,-0.188012827,-0.586010335,0.381490343,-0.288995893,0.583109801,F8,8,8
20200803_0949_blob_1483_,-0.234696971,0.174592979,0.414783736,0.682077203,0.0852414,0.165194107,0.005454269,-0.32014581,F4,4,4
20200803_0949_blob_1730_,0.699141074,-0.456117352,-0.360408578,-0.500489511,-0.348937001,-0.327627534,0.63127475,0.478463807,F1,1,1
20200803_0949_blob_18_,0.555194773,-0.671563402,0.590039969,-0.045405454,-0.378670097,-0.402930268,-0.100627412,-0.344448961,F3,3,3
20200803_0949_blob_1827_,-0.816053743,0.858324159,-0.044597619,0.448706066,0.695535646,0.451344728,0.050133409,-0.027381156,F2,2,2
20200803_0949_blob_2009_,-0.267858372,0.279879844,0.32023055,-0.161386156,0.548475379,-0.065673467,-0.048624253,-0.122435134,F5,5,5
20200803_0949_blob_595_,-0.320321679,0.406176175,-0.502133321,0.333259104,-0.249702303,0.870985619,-0.331241677,0.468074124,F6,6,6
20200803_0949_blob_620_,0.81484064,-0.890793225,0.327773713,-0.375048473,-0.586009019,-0.511436592,-0.059787875,-0.126087938,F1,1,1
20200803_0949_blob_636_,-0.266070774,0.352385893,-0.275893426,0.476849305,-0.291116191,0.863843458,-0.32820932,0.414923353,F6,6,6
