SS_startdate,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct
7/25/2019 7:00,0.020,0.080,0.120,0.010,0.340,0.020
7/26/2019 7:00,0.390,0.060,0.360,0.020,0.170,0.000
7/27/2019 7:00,0.440,0.080,0.160,0.030,0.270,0.020
7/29/2019 7:00,0.180,0.110,0.240,0.040,0.410,0.020
8/1/2019 7:00,0.080,0.210,0.110,0.010,0.580,0.010
8/2/2019 7:00,0.110,0.240,0.130,0.000,0.510,0.010
8/3/2019 7:00,0.050,0.410,0.140,0.000,0.390,0.010
8/4/2019 7:00,0.030,0.410,0.080,0.010,0.450,0.020
8/5/2019 7:00,0.040,0.430,0.120,0.060,0.320,0.030
8/6/2019 7:00,0.050,0.320,0.110,0.020,0.380,0.120
8/7/2019 7:00,0.060,0.270,0.100,0.110,0.370,0.090
8/9/2019 7:00,0.080,0.260,0.140,0.130,0.280,0.110
8/11/2019 7:00,0.100,0.340,0.110,0.150,0.240,0.060
