,BlobID,Compound.Name,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic,cluster_assigned,totorgnorm_cumsum,isnormnormptnorm_cumsum,quantcumsum,quant_pct,quant_pct_cumulative,rownum,cluster_factor_types,cluster_group,order,cluster_factor_types.f
7,654,20200803_1535_blob_654_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1455.367232,NA,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,C10H10O2,162,NA,NA,NA,NA,TRUE,1,2,NA,21327.41499,184.1989781,0.013874647,0.613752802,10,Anthro1,Anthropogenic,1,Anthro1
42,615,20200803_1535_blob_615_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1524.293785,NA,"Benzene-1,4-dicarboxylic acid, monohydrazide, methyl ester",867,874,NA,C9H10N2O3,194,NA,NA,NA,NA,TRUE,1,2,NA,7178.502876,151.4285573,0.01140624,0.638858763,12,Anthro1,Anthropogenic,1,Anthro1
215,703,20200803_1535_blob_703_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1500.564972,NA,"Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-",759,847,1432,C11H14O2,178,NA,NA,NA,NA,NA,1,2,NA,10246.18722,124.0993808,0.009347691,0.668878419,15,Anthro1,Anthropogenic,1,Anthro1
10,26,20200803_1535_blob_26_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1739.240506,NA,"Benzoic acid, 2-ethylhexyl ester",918,919,1735,C15H22O2,234,NA,NA,NA,NA,TRUE,1,2,NA,80686.0915,68.08202545,0.005128226,0.743898494,25,Anthro1,Anthropogenic,1,Anthro1
319,792,20200803_1535_blob_792_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1637.974684,NA,"Cyclooctasiloxane, hexadecamethyl-",721,820,1704,C16H48O8Si8,592,NA,NA,NA,NA,NA,1,2,NA,4450.410979,51.12928805,0.003851274,0.757023543,28,Anthro1,Anthropogenic,1,Anthro1
40,1273,20200803_0949_blob_1273_,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1256.725455,NA,"Benzoic Acid, TMS derivative",868,918,1249,C10H14O2Si,194,NA,NA,NA,NA,TRUE,1,2,NA,537.8558239,47.52158006,0.003579527,0.775453239,33,Anthro1,Anthropogenic,1,Anthro1
135,30,20200803_1535_blob_30_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1745.56962,NA,"Phthalimide, N-(1-hydroxy-2-propyl)-",805,853,NA,C11H11NO3,205,NA,NA,NA,NA,TRUE,1,2,NA,66870.92387,47.047107,0.003543787,0.778997026,34,Anthro1,Anthropogenic,1,Anthro1
31,17,20200803_1535_blob_17_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1863.888889,NA,"p-Toluic acid, 2-ethylhexyl ester",883,885,NA,C16H24O2,248,NA,NA,NA,NA,TRUE,1,2,NA,121074.5095,30.90044257,0.002327552,0.817549679,48,Anthro1,Anthropogenic,1,Anthro1
52,1058,20200803_1535_blob_1058_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1531.073446,NA,Butylated Hydroxytoluene,859,871,1513,C15H24O,220,NA,NA,NA,NA,TRUE,1,2,NA,1916.620185,28.80816033,0.002169953,0.824289145,51,Anthro1,Anthropogenic,1,Anthro1
107,469,20200803_1535_blob_469_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2376.666667,NA,"Heneicosane, 11-(1-ethylpropyl)-",818,823,NA,C26H54,366,NA,NA,NA,NA,TRUE,1,2,NA,70205.85033,27.93958609,0.002104528,0.826393673,52,Anthro1,Anthropogenic,1,Anthro1
301,1048,20200803_1535_blob_1048_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1537.853107,NA,"Benzenemethanol, 4-(1,1-dimethylethyl)-<e4><U+0096>-methyl-",729,732,NA,C12H18O,178,NA,NA,NA,NA,NA,1,2,NA,3310.264772,27.71469273,0.002087588,0.828481261,53,Anthro1,Anthropogenic,1,Anthro1
65,33,20200803_1535_blob_33_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2341.666667,NA,"Heptadecane, 2,3-dimethyl-",846,871,NA,C19H40,268,NA,NA,NA,NA,TRUE,1,2,NA,75456.92903,27.58511842,0.002077828,0.830559089,54,Anthro1,Anthropogenic,1,Anthro1
88,495,20200803_1535_blob_495_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2432.432432,NA,17-Pentatriacontene,829,829,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,NA,57812.85681,26.30442175,0.00198136,0.834549239,56,Anthro1,Anthropogenic,1,Anthro1
8,936,20200803_1535_blob_936_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1475.706215,NA,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,C10H10O2,162,NA,NA,NA,NA,TRUE,1,2,NA,3582.224942,25.26286273,0.001902906,0.836452145,57,Anthro1,Anthropogenic,1,Anthro1
691,706,20200803_1535_blob_706_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2443.243243,NA,"3,6-Dichloro-1,2,4,5-benzenetetramethanol",613,629,NA,C10H12Cl2O4,266,NA,NA,NA,NA,NA,1,2,NA,22545.55087,24.46084631,0.001842495,0.838294639,58,Anthro1,Anthropogenic,1,Anthro1
239,574,20200803_1535_blob_574_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2200,NA,"Phenanthrene, 2,3,5-trimethyl-",748,823,NA,C17H16,220,NA,NA,NA,NA,NA,1,2,0.14082055,47762.3687,24.29179108,0.001829761,0.841959878,60,Anthro1,Anthropogenic,1,Anthro1
102,551,20200803_1535_blob_551_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2450.45045,NA,17-Pentatriacontene,820,820,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.185577707,51838.642,23.80577694,0.001793152,0.847377387,63,Anthro1,Anthropogenic,1,Anthro1
560,31,20200803_1535_blob_31_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1806.944444,NA,"1,3,3,5,5-Pentamethylcyclohexanol",658,710,NA,C11H22O,170,NA,NA,NA,NA,NA,1,2,NA,58190.54297,20.95744459,0.001578603,0.84895599,64,Anthro1,Anthropogenic,1,Anthro1
193,669,20200803_1535_blob_669_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2529.72973,NA,"Tetrapentacontane, 1,54-dibromo-",769,777,NA,C54H108Br2,914,NA,NA,NA,NA,NA,1,2,NA,38652.95899,19.89043535,0.001498232,0.851960909,66,Anthro1,Anthropogenic,1,Anthro1
205,772,20200803_1535_blob_772_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2524.324324,NA,"naphthalene, 1-(2-phenylethynyl)-",766,908,NA,C18H12,228,NA,NA,NA,NA,NA,1,2,NA,12997.77902,18.82059093,0.001417647,0.853378555,67,Anthro1,Anthropogenic,1,Anthro1
26,876,20200803_1535_blob_876_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1616.455696,NA,"Benzothiazole, 2-butyl-",886,886,NA,C11H13NS,191,TRUE,NA,NA,NA,TRUE,1,2,NA,2620.546977,18.45575465,0.001390166,0.858987948,71,Anthro1,Anthropogenic,1,Anthro1
71,514,20200803_1535_blob_514_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2423.423423,NA,17-Pentatriacontene,841,841,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.107401379,38712.97312,17.05339299,0.001284534,0.862892619,74,Anthro1,Anthropogenic,1,Anthro1
165,619,20200803_1535_blob_619_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2320,NA,"Ethanol, 2-(octadecyloxy)-",786,810,NA,C20H42O2,314,NA,NA,NA,NA,NA,1,2,0.141321581,45352.94135,16.70276077,0.001258123,0.864150742,75,Anthro1,Anthropogenic,1,Anthro1
118,482,20200803_1535_blob_482_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2351.666667,NA,Pentyl dotriacontyl ether,813,840,NA,C37H76O,536,NA,NA,NA,NA,TRUE,1,2,NA,43107.17664,16.5077059,0.00124343,0.865394172,76,Anthro1,Anthropogenic,1,Anthro1
110,1827,20200803_0949_blob_1827_,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1497.727273,NA,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,NA,C10H9NO2,175,NA,NA,NA,NA,TRUE,1,2,NA,831.0152706,15.54750893,0.001171104,0.867778488,78,Anthro1,Anthropogenic,1,Anthro1
77,506,20200803_1535_blob_506_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2386.666667,NA,17-Pentatriacontene,834,834,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.123719619,37237.20785,15.31482026,0.001153577,0.870092942,80,Anthro1,Anthropogenic,1,Anthro1
212,662,20200803_1535_blob_662_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2544.144144,NA,"Octadecanal, 2-bromo-",761,772,NA,C18H35BrO,346,NA,NA,NA,NA,NA,1,2,0.076578026,20292.90162,13.13743628,0.000989567,0.878452852,88,Anthro1,Anthropogenic,1,Anthro1
131,704,20200803_1535_blob_704_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2326.666667,NA,7H-Benzanthrene,808,903,NA,C17H12,216,NA,NA,NA,NA,TRUE,1,2,0.042311791,14493.50635,12.94526032,0.000975092,0.879427943,89,Anthro1,Anthropogenic,1,Anthro1
161,694,20200803_1535_blob_694_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2293.333333,NA,"9,10-Anthracenedione, 2,7-dimethyl-",788,868,NA,C16H12O2,236,NA,NA,NA,NA,NA,1,2,NA,19572.03285,12.66729251,0.000954154,0.88230936,92,Anthro1,Anthropogenic,1,Anthro1
136,644,20200803_1535_blob_644_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2296.666667,NA,"Ethanol, 2-(octadecyloxy)-",804,816,NA,C20H42O2,314,NA,NA,NA,NA,TRUE,1,2,0.108710729,34858.38374,12.4524861,0.000937974,0.884192192,94,Anthro1,Anthropogenic,1,Anthro1
222,806,20200803_1535_blob_806_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2716.504854,NA,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",755,846,NA,C33H56,452,NA,NA,NA,NA,NA,1,2,0.037957138,11186.75555,12.43725418,0.000936827,0.885129018,95,Anthro1,Anthropogenic,1,Anthro1
79,568,20200803_1535_blob_568_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2363.333333,NA,17-Pentatriacontene,832,833,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,NA,30282.8634,11.93509672,0.000899002,0.886947817,97,Anthro1,Anthropogenic,1,Anthro1
524,666,20200803_1535_blob_666_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2280,NA,"Hexadecanoic acid, (2-phenyl-1,3-dioxolan-4-yl)methyl ester, cis-",668,678,NA,C26H42O4,418,NA,NA,NA,NA,NA,1,2,0.08911988,30744.50539,11.88883922,0.000895518,0.887843335,98,Anthro1,Anthropogenic,1,Anthro1
85,554,20200803_1535_blob_554_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2370,NA,17-Pentatriacontene,830,830,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.09315899,29358.89667,11.68570606,0.000880217,0.88961759,100,Anthro1,Anthropogenic,1,Anthro1
679,641,20200803_1535_blob_641_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1990.277778,NA,"Octadecane, 3-ethyl-5-(2-ethylbutyl)-",617,617,NA,C26H54,366,NA,NA,NA,NA,NA,1,2,NA,24440.90243,11.60094779,0.000873833,0.891370158,102,Anthro1,Anthropogenic,1,Anthro1
404,727,20200803_1535_blob_727_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2170.992366,NA,2-Bromodiphenylamine,698,763,NA,C12H10BrN,247,NA,NA,NA,NA,NA,1,2,NA,13544.44176,11.58819453,0.000872872,0.89224303,103,Anthro1,Anthropogenic,1,Anthro1
86,681,20200803_1535_blob_681_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2318.333333,NA,11H-Benzo[b]fluorene,830,880,NA,C17H12,216,NA,NA,NA,NA,TRUE,1,2,NA,15607.74272,11.54722116,0.000869786,0.893112815,104,Anthro1,Anthropogenic,1,Anthro1
63,543,20200803_1535_blob_543_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2238.333333,NA,"Heptadecane, 2,3-dimethyl-",847,870,NA,C19H40,268,NA,NA,NA,NA,TRUE,1,2,NA,25237.74705,11.44392423,0.000862005,0.894838501,106,Anthro1,Anthropogenic,1,Anthro1
108,623,20200803_1535_blob_623_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2464.864865,NA,17-Pentatriacontene,817,817,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.092174697,23426.48311,11.0198247,0.00083006,0.896510783,108,Anthro1,Anthropogenic,1,Anthro1
173,655,20200803_1535_blob_655_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2500.900901,NA,17-Pentatriacontene,780,781,NA,C35H70,490,NA,NA,NA,NA,NA,1,2,0.06090866,21586.05679,10.63128214,0.000800793,0.900577219,113,Anthro1,Anthropogenic,1,Anthro1
429,696,20200803_1535_blob_696_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2363.333333,NA,"3,4,7,8-Tetraazatricyclo[4.2.2.0(1,5)]dec-9-ene-3,4:7,8-bis(N-methyldicarboximide), 2,2-diphenyl-",691,694,NA,C24H20N6O4,456,NA,NA,NA,NA,NA,1,2,NA,13334.69757,10.33939427,0.000778807,0.90215628,115,Anthro1,Anthropogenic,1,Anthro1
