"","Compound.Name","raw_cumsum","num_obs","pct_obs"
"1","20200803_1535_blob_3_fb",1569372.6442385,37,1
"2","20200803_1535_blob_2_",874751.112797298,31,0.837837837837838
"3","20200803_1535_blob_5_fb",606562.881267813,31,0.837837837837838
"4","20200803_1535_blob_453_",295800.567416948,37,1
"5","20200803_1535_blob_9_",286214.515007507,37,1
"6","20200803_1535_blob_7_",195665.443374113,22,0.594594594594595
"7","20200803_1535_blob_106_fb",183400.86344128,37,1
"8","20200803_1535_blob_18_",172754.449214001,37,1
"9","20200803_1535_blob_23_fb",166630.697412135,37,1
"10","20200803_1535_blob_11_",155252.116554493,30,0.810810810810811
"11","20200803_1535_blob_21_",150196.917468979,37,1
"12","20200803_1535_blob_17_",141352.172591493,37,1
"13","20200803_1535_blob_29_oil",114957.57573345,37,1
"14","20200803_1535_blob_33_oil",106641.320889765,37,1
"15","20200803_1535_blob_63_",101191.199208561,37,1
"16","20200803_1535_blob_500_",96335.5108775906,36,0.972972972972973
"17","20200803_1535_blob_691_oil",94776.2253636141,37,1
"18","20200803_1535_blob_469_oil",94323.9318127735,37,1
"19","20200803_1535_blob_638_oil",87877.7112481666,31,0.837837837837838
"20","20200803_1535_blob_26_",87501.1784903339,37,1
"21","20200803_1535_blob_13_",83835.3542786842,16,0.432432432432432
"22","20200803_1535_blob_443_oil",82542.3515118134,37,1
"23","20200803_1535_blob_170_",78926.4134101297,37,1
"24","20200803_1535_blob_495_oil",74332.3392637448,37,1
"25","20200803_1535_blob_30_",71819.5968058671,37,1
"26","20200803_1535_blob_551_oil",69351.1922627448,29,0.783783783783784
"27","20200803_1535_blob_31_",66081.9952817579,37,1
"28","20200803_1535_blob_143_",65715.3470115963,37,1
"29","20200803_1535_blob_619_oil",64094.8867933195,30,0.810810810810811
"30","20200803_1535_blob_574_",63292.9318241777,20,0.540540540540541
"31","20200803_1535_blob_482_oil",59475.3661586184,31,0.837837837837838
"32","20200803_1535_blob_579_oil",59085.2246823777,26,0.702702702702703
"33","20200803_1535_blob_514_oil",58761.0192979929,16,0.432432432432432
"34","20200803_1535_blob_707_oil",57751.8425173137,31,0.837837837837838
"35","20200803_1535_blob_521_oil",54694.0712702792,32,0.864864864864865
"36","20200803_1535_blob_97_",54169.2363189975,34,0.918918918918919
"37","20200803_1535_blob_669_oil",53256.4600062992,29,0.783783783783784
"38","20200803_1535_blob_645_",51545.1150040399,37,1
"39","20200803_1535_blob_745_",51485.7439219685,37,1
"40","20200803_1535_blob_506_oil",50324.0185989244,36,0.972972972972973
"41","20200803_1535_blob_665_oil",50261.7572968094,19,0.513513513513513
"42","20200803_1535_blob_644_oil",46935.6513286041,32,0.864864864864865
"43","20200803_1535_blob_205_",46827.2493034304,37,1
"44","20200803_0949_blob_595_",46452.879917855,20,0.540540540540541
"45","20200803_1535_blob_47_",45664.1200267408,17,0.459459459459459
"46","20200803_1535_blob_668_",44221.9265675625,37,1
"47","20200803_1535_blob_625_oil",43891.3238593905,31,0.837837837837838
"48","20200803_1535_blob_666_oil",42396.7733974873,20,0.540540540540541
"49","20200803_1535_blob_554_oil",41938.0734122848,30,0.810810810810811
"50","20200803_1535_blob_568_oil",41431.2616430787,27,0.72972972972973
"51","20200803_1535_blob_19_",41314.1359364226,37,1
"52","20200803_1535_blob_398_",41195.1934102578,37,1
"53","20200803_1535_blob_43_",41083.2058495278,37,1
"54","20200803_1535_blob_649_oil",39976.1372318209,18,0.486486486486487
"55","20200803_1535_blob_598_oil",39134.7781515216,26,0.702702702702703
"56","20200803_1535_blob_658_oil",38197.8429955278,19,0.513513513513513
"57","20200803_1535_blob_556_",37054.5421950398,37,1
"58","20200803_1535_blob_652_oil",36100.4404628654,33,0.891891891891892
"59","20200803_1535_blob_650_oil",35275.8575988482,30,0.810810810810811
"60","20200803_1535_blob_116_",35082.5118831029,37,1
"61","20200803_1535_blob_660_",34823.476723345,37,1
"62","20200803_1535_blob_543_oil",34309.132419924,37,1
"63","20200803_1535_blob_516_oil",34094.2343750994,26,0.702702702702703
"64","20200803_1535_blob_623_oil",33956.2780251788,18,0.486486486486487
"65","20200803_1535_blob_655_oil",33208.6317405609,15,0.405405405405405
"66","20200803_1535_blob_492_",32445.3793749231,37,1
"67","20200803_1535_blob_672_oil",31298.7051443325,32,0.864864864864865
"68","20200803_1535_blob_706_",31114.7493944336,26,0.702702702702703
"69","20200803_1535_blob_648_oil",30612.1166295781,27,0.72972972972973
"70","20200803_1535_blob_27_",30155.4446672651,37,1
"71","20200803_1535_blob_701_oil",29255.4993801774,32,0.864864864864865
"72","20200803_1535_blob_662_oil",27121.6144664992,28,0.756756756756757
"73","20200803_1535_blob_637_oil",26742.6306705454,29,0.783783783783784
