,Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,,best_corr,cluster,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic
1,20200803_0949_blob_1009_,-0.301398146,0.584279396,-0.289727582,0.171711802,0.717692069,0.142971186,0.633127736,0.557526435,0.717692069,F5,NA,1009,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1667.088608,NA,"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",693,768,NA,C14H22O2,222,NA,NA,NA,NA,NA,1
2,20200803_0949_blob_1011_,-0.016364384,-0.116009523,0.684992767,0.060055736,-0.230591101,-0.079110855,-0.133540044,-0.539106001,0.684992767,F3,NA,1011,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1845.070423,NA,"1-Cyclopenten-3-one, 1-(3-methoxy-1-(E)-octenyl)-2-trimethylsilyl-",637,672,NA,C17H30O2Si,294,NA,NA,NA,NA,NA,1
3,20200803_0949_blob_1043_,-0.218404644,0.308210368,0.029028294,-0.177347704,0.590978435,-0.323525672,0.572259098,0.212408565,0.590978435,F5,NA,1043,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1821.126761,NA,"1H-Indole-2,3-dione, 5-tert-butyl-",721,770,NA,C12H13NO2,203,NA,NA,NA,NA,NA,1
4,20200803_0949_blob_1063_,0.818025593,-0.653993076,-0.3826739,-0.420971674,-0.350301372,0.470848684,-0.650792232,0.298296027,0.818025593,F1,1,1063,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1485.227273,NA,"2,5-cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-hydroxy-4-methyl-",685,855,NA,C15H24O2,236,NA,NA,NA,NA,NA,1
5,20200803_0949_blob_1138_,-0.847555837,0.872110738,0.293417058,0.891596078,0.145819389,0.078381572,0.521964777,-0.15429889,0.891596078,F4,NA,1138,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1653.164557,NA,Diphenylamine,784,878,1621,C12H11N,169,NA,NA,NA,NA,NA,1
6,20200803_0949_blob_1140_,0.902658891,-0.776628623,-0.038153364,-0.578886549,-0.322279882,0.182548312,-0.648239839,0.144509531,0.902658891,F1,NA,1140,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1641.772152,NA,"12-Oxatetracyclo[5.2.1.1(2,6).1(8,11)]dodecan-3-ol-10-one acetate",616,633,NA,C13H16O4,236,NA,NA,NA,NA,NA,1
7,20200803_0949_blob_1163_,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,20200803_0949_blob_1172_,0.203013871,-0.227306027,0.667114317,-0.055072458,-0.221438849,0.033727777,-0.207801046,-0.381251302,0.667114317,F3,NA,1172,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1833.802817,NA,"2(3H)-Benzofuranone, 6-ethenylhexahydro-3,6-dimethyl-7-(1-methylethenyl)-, [3S-(3<e4><U+0096>,3a<e4><U+0096>,6<e4><U+0096>,7??,7a??)]-",715,778,1806,C15H22O2,234,NA,NA,NA,NA,NA,1
9,20200803_0949_blob_1194_,-0.004737728,0.053305656,0.092271057,-0.325890447,0.224972071,-0.22402804,0.282923868,0.108525541,0.282923868,F7,NA,1194,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2063.076923,NA,"1-Heptadecanol, TMS derivative",717,737,2054,C20H44OSi,328,NA,NA,NA,NA,NA,1
10,20200803_0949_blob_1227_,-0.502120262,0.53638633,0.221386735,0.547393097,0.026567074,0.096528221,0.266741762,-0.041552446,0.547393097,F4,NA,1227,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1830.985915,NA,Calarene epoxide,736,799,NA,C15H24O,220,NA,NA,NA,NA,NA,1
11,20200803_0949_blob_1249_,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1249,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1278.126131,NA,"Silanol, trimethyl-, phosphate (3:1)",817,836,1286,C9H27O4PSi3,314,NA,NA,NA,NA,TRUE,1
12,20200803_0949_blob_1273_,-0.42530594,0.680833417,-0.279035103,0.188881044,0.630698646,-0.060440018,0.67104755,0.486174953,0.680833417,F2,2,1273,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1256.725455,NA,"Benzoic Acid, TMS derivative",868,918,1249,C10H14O2Si,194,NA,NA,NA,NA,TRUE,1
13,20200803_0949_blob_1280_,-0.555628554,0.627191346,0.086329849,0.607751023,-0.064304112,0.164581232,0.354816753,0.164397072,0.627191346,F2,NA,1280,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1696.202532,NA,"1-(1,3-Dimethyl-buta-1,3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene",678,724,NA,C15H22O,218,NA,NA,NA,NA,NA,1
14,20200803_0949_blob_1303_,0.752477642,-0.499684488,-0.510985306,-0.427580873,-0.208974941,0.492905016,-0.50117492,0.475688871,0.752477642,F1,NA,1303,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1793.670886,NA,"(5R,10R)-6,10-Dimethyl-2-(propan-2-ylidene)spiro[4.5]dec-6-en-8-one",736,765,NA,C15H22O,218,NA,NA,NA,NA,NA,1
15,20200803_0949_blob_1315_,0.394050574,-0.466835741,0.656049802,0.029148543,-0.373439702,0.147620978,-0.493984193,-0.456973806,0.656049802,F3,3,1315,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1309.032713,NA,"Formamide, N,N-dibutyl-",819,838,1310,C9H19NO,157,NA,NA,NA,NA,TRUE,1
16,20200803_0949_blob_1355_,-0.453426029,0.344159704,0.159605217,0.261980699,0.274764171,-0.333501227,0.318767605,-0.316966241,0.344159704,F2,NA,1355,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1679.746835,NA,"Ethanol, 2-(methylamino)-, N-trifluoroacetyl, O-(tert-butyldimethylsilyl)",573,629,NA,C11H22F3NO2Si,285,NA,NA,NA,NA,NA,1
17,20200803_0949_blob_1393_,0.280653023,-0.09818904,0.18934968,0.210727894,-0.141103351,0.399499176,-0.256465468,0.166107244,0.399499176,F6,NA,1393,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1537.5,NA,"Quinoline, 2,4,6-trimethyl-",814,832,1532,C12H13N,171,NA,NA,NA,NA,TRUE,1
18,20200803_0949_blob_1477_,0.296080506,-0.130243493,-0.547796905,-0.588290088,0.482653121,-0.288995893,0.241657876,0.583109801,0.583109801,F8,NA,1477,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1700,NA,N-n-Butylphthalimide,753,822,NA,C12H13NO2,203,NA,NA,NA,NA,NA,1
19,20200803_0949_blob_1483_,-0.192788715,0.170792275,0.624453529,0.113606415,0.135811055,0.005454269,0.175306656,-0.32014581,0.624453529,F3,3,1483,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1323.587479,NA,Phthalic anhydride,884,904,1313,C8H4O3,148,NA,NA,NA,NA,TRUE,1
20,20200803_0949_blob_1730_,0.682332082,-0.442379744,-0.445593079,-0.375205605,-0.184328064,0.63127475,-0.436892957,0.478463807,0.682332082,F1,NA,1730,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1786.075949,NA,"Menthol, 1'-(butyn-3-one-1-yl)-, (1R,2S,5R)-",711,727,NA,C14H22O2,222,NA,NA,NA,NA,NA,1
21,20200803_0949_blob_18_,0.582922471,-0.676696399,0.540598461,-0.413286079,-0.291276657,-0.100627412,-0.499671967,-0.344448961,0.582922471,F1,NA,18,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1892.957746,NA,"Bicyclo[4.3.0]nonan-2-one, 8-isopropylidene-",735,796,NA,C12H18O,178,NA,NA,NA,NA,NA,1
