"","Compound.Name","Mixed_Aggregates_pct","Diatom_Dominated_Aggregates_pct","Dinoflagellates_pct","Microzooplankton_pct","Diatoms_pct","Haptophytes_pct","Cell_Numbers","Mixed_Aggregates","Diatom_Dominated_Aggregates","Dinoflagellates","Microzooplankton","Diatoms","Haptophytes","cluster_assigned","cluster_factors","cluster_factor_types","totorgnorm_cumsum","isnormnormptnorm_cumsum","quantcumsum","quant_pct","quant_pct_cumulative","rownum","BlobID","Library.Name","Library.Match.Factor","Library.Reverse.Match.Factor","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Benzothiazole","Thiol","Library.Reverse.Match.Factor_chamber","Library.RI_chamber","Identifiable","tic"
"1","20200803_0949_blob_1000_oil",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,206.694907293977,0.141495262159127,1.0489777723603e-05,0.999652183864946,647,1000,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2739.805825,NA,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",704,732,NA,"C19H34O2",294,NA,NA,NA,NA,NA,1
"2","20200803_0949_blob_1001_",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,51.1364680275983,0.0107196363581381,7.94702246272128e-07,0.999989962430284,725,1001,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2027.692308,NA,"Benz[e]azulene-3,8-dione, 5-[(acetyloxy)methyl]-3a,4,6a,7,9,10,10a,10b-octahydro-3a,10a-dihydroxy-2,10-dimethyl-, (3a<e4><U+0096>,6a<e4><U+0096>,10??,10a??,10b??)-(+)-",647,652,NA,"C19H24O6",348,NA,NA,NA,NA,NA,1
"3","20200803_0949_blob_1004_",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,107.95857842487,0.0389226183032818,2.88553558749481e-06,0.999936849376417,697,1004,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2012.307692,NA,"Methyl glycocholate, 3TMS derivative",626,660,NA,"C36H69NO6Si3",695,NA,NA,NA,NA,NA,1
"4","20200803_0949_blob_1005_",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,95.5153320924011,0.0363787750251661,2.69694729030429e-06,0.999950793847736,702,1005,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2336.134454,NA,"tert-Hexadecanethiol",689,709,NA,"C16H34S",258,NA,TRUE,NA,NA,NA,1
"5","20200803_0949_blob_1009_",0.291563753,-0.372775027,0.349841842,-0.204556635,-0.255744584,-0.565936921,-0.212466179,0.290871238,-0.24009988,-0.020471745,-0.170036514,-0.223503572,-0.58397418,6,"Factor F","Anthro2",NA,2088.04373190262,5.12047865399538,0.000379607642681771,0.944168678465117,192,1009,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1667.088608,NA,"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",693,768,NA,"C14H22O2",222,NA,NA,NA,NA,NA,1
"6","20200803_0949_blob_1011_",-0.143015751,0.030140445,0.029102104,-0.364156633,0.621171713,-0.408283021,0.180002558,-0.028664541,0.097372521,0.200051973,-0.360591596,0.394656562,-0.39373577,3,"Factor C","Mixed4",NA,1793.70163837785,0.426211165547533,3.15972444708673e-05,0.998092302479277,569,1011,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1845.070423,NA,"1-Cyclopenten-3-one, 1-(3-methoxy-1-(E)-octenyl)-2-trimethylsilyl-",637,672,NA,"C17H30O2Si",294,NA,NA,NA,NA,NA,1
"7","20200803_0949_blob_1025_",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,41.6257260251224,0.0443611419495659,3.28872155516291e-06,0.999921880990517,692,1025,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1669.620253,NA,"10-Undecen-1-ol, TMS derivative",571,677,NA,"C14H30OSi",242,NA,NA,NA,NA,NA,1
"8","20200803_0949_blob_1043_",0.236775147,-0.257344892,0.313139393,-0.605627257,-0.181367838,-0.356005592,-0.219838144,-0.087788989,-0.125154107,-0.09174339,-0.647286477,-0.196826699,-0.396472303,6,"Factor F","Anthro2",NA,410.675067207994,0.0807097236375877,5.98343045677104e-06,0.999823548690347,670,1043,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1821.126761,NA,"1H-Indole-2,3-dione, 5-tert-butyl-",721,770,NA,"C12H13NO2",203,NA,NA,NA,NA,NA,1
"9","20200803_0949_blob_1047_",-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,NA,NA,NA,NA,145.145728347413,0.0838011507994387,6.21261398759525e-06,0.999799312133073,666,1047,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2456.363636,NA,"Benzoic acid, tetradecyl ester",634,763,2447,"C21H34O2",318,NA,NA,NA,NA,NA,1
"10","20200803_0949_blob_1048_",0.729548657,-0.343745374,0.543859514,-0.273691466,-0.412627891,-0.385776363,-0.232220052,0.51506573,-0.169581435,-0.040750916,-0.321676871,-0.233927915,-0.400709603,NA,NA,NA,NA,310.298065711191,0.374809824703957,2.77865964539895e-05,0.998415238836396,580,1048,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1721.518987,NA,"3,3a-Epoxydicyclopenta[a,d]cyclooctan-4??-ol, 9,10a-dimethyl-6-methylene-3??-isopropyl-",594,608,NA,"C20H32O2",304,NA,NA,NA,NA,NA,1
