Compound.Name,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct
Microzooplankton_pct,-0.108281309,0.189058403,-0.15887824,1,-0.466479107,0.618260635
20200803_1535_blob_745_,-0.378337394,0.52966068,-0.422696676,0.842386984,-0.26670149,0.742070727
20200803_0949_blob_1730_,-0.121668035,0.230455795,-0.184490353,0.819081929,-0.398054221,0.39825226
20200803_0949_blob_1063_,-0.387217498,0.405542305,-0.329525216,0.795608909,-0.18147888,0.513443223
20200803_0949_blob_1303_,-0.184569132,0.322843993,-0.273500402,0.762275307,-0.341681277,0.463332264
20200803_1535_blob_21_,-0.003886471,0.09697078,-0.156690127,0.747106248,-0.347240446,0.439192408
20200803_1535_blob_687_,-0.370867404,0.579362754,-0.396522881,0.658453788,-0.338900666,0.61894515
Haptophytes_pct,-0.329924228,0.274911335,-0.359260952,0.618260635,-0.190859205,1
20200803_0949_blob_1140_,-0.352390877,0.563880153,-0.37164482,0.590162475,-0.159169321,0.32213545
20200803_1535_blob_843_,-0.071435484,-0.176494313,0.053719233,0.563570604,-0.666337506,0.44864508
20200803_0949_blob_660_,-0.40156035,0.448593403,-0.379422326,0.551709817,-0.157539596,0.93780453
20200803_1535_blob_862_,-0.424433381,0.667310492,-0.56070971,0.501791233,0.22199409,0.374681559
20200803_0949_blob_1393_,-0.479224774,0.195816889,-0.306978886,0.480529036,-0.228817185,0.759994369
20200803_0949_blob_1082_,-0.134288048,0.085946765,-0.074187891,0.460573925,-0.184091851,0.489751141
20200803_0949_blob_649_,-0.134971855,0.087170069,-0.075094383,0.459753521,-0.183242793,0.489125814
20200803_0949_blob_1055_,-0.154568367,0.123036179,-0.101616814,0.432983725,-0.157071584,0.467994381
20200803_1535_blob_979_,-0.485976258,0.836913887,-0.490962413,0.430411876,-0.113356845,0.458901412
20200803_1535_blob_763_,0.430435031,-0.538930983,0.367821297,0.42933576,-0.742441739,0.071681292
20200803_0949_blob_623_,-0.157700536,0.128927423,-0.105962744,0.428065742,-0.152527797,0.463986986
20200803_0949_blob_707_,-0.163932446,0.140796079,-0.114708645,0.417687729,-0.143152644,0.45542943
20200803_0949_blob_676_,-0.53002035,0.864300414,-0.46774748,0.390649743,-0.113824861,0.396822983
20200803_0949_blob_741_oil,-0.425511652,0.316951443,-0.532551885,0.385337226,-0.016100298,0.356805238
20200803_0949_blob_779_oil,-0.426893006,0.598186986,-0.351061199,0.305166415,-0.045959523,0.530431418
20200803_0949_blob_745_,-0.635076711,0.778152237,-0.618288967,0.257534906,0.400006748,0.419652296
20200803_0949_blob_715_oil,-0.527126222,0.853592619,-0.417853308,0.221107805,-0.079292681,0.457250217
20200803_1535_blob_673_,0.375189727,0.110523737,0.292957683,0.216717815,-0.073784395,-0.020383012
20200803_1535_blob_659_,-0.457094841,0.547581618,-0.38023814,0.190028748,-0.274523885,0.348221045
Diatom_Dominated_Aggregates_pct,-0.664096705,1,-0.613538939,0.189058403,0.221897765,0.274911335
20200803_0949_blob_783_,-0.453885987,0.795376391,-0.30232327,0.187688275,-0.113742663,0.21322377
20200803_0949_blob_900_,-0.12495969,0.062477762,0.142464179,0.178394832,0.116400172,0.398654737
