Compound.Name,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct,Cell_Numbers,Mixed_Aggregates,Diatom_Dominated_Aggregates,Dinoflagellates,Microzooplankton,Diatoms,Haptophytes,HB_cells_L,Virus_L,Chlor_a
20200803_0949_blob_1000_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1001_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1004_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1005_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1009_,0.291563753,-0.372775027,0.349841842,-0.204556635,-0.255744584,-0.565936921,-0.212466179,0.290871238,-0.24009988,-0.020471745,-0.170036514,-0.223503572,-0.58397418,-0.428269494,-0.376781818,-0.166515394
20200803_0949_blob_1011_,-0.143015751,0.030140445,0.029102104,-0.364156633,0.621171713,-0.408283021,0.180002558,-0.028664541,0.097372521,0.200051973,-0.360591596,0.394656562,-0.39373577,-0.165764699,-0.372173715,0.40627602
20200803_0949_blob_1025_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1043_,0.236775147,-0.257344892,0.313139393,-0.605627257,-0.181367838,-0.356005592,-0.219838144,-0.087788989,-0.125154107,-0.09174339,-0.647286477,-0.196826699,-0.396472303,-0.273516459,-0.471930047,-0.391394098
20200803_0949_blob_1047_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1048_,0.729548657,-0.343745374,0.543859514,-0.273691466,-0.412627891,-0.385776363,-0.232220052,0.51506573,-0.169581435,-0.040750916,-0.321676871,-0.233927915,-0.400709603,-0.483776192,-0.452873164,-0.16781352
20200803_0949_blob_1055_,-0.154568367,0.123036179,-0.101616814,0.432983725,-0.157071584,0.467994381,0.022006621,-0.168363744,0.028632016,-0.052589867,0.373684409,-0.053444637,0.486806132,-0.008508899,0.163462033,-0.057611157
20200803_0949_blob_1057_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
